day price
1 11324.8
2 11462.3
3 11327.4
4 11527.4
5 11468.1
6 11702
7 11644.2
8 11914.9
9 11413.3
10 10168.8
11 10472.5
12 10092.2
13 10296.4
14 10376.9
15 10126.6
16 10224.6
17 10339.7
18 10390.2
19 10441.9
20 10326
21 10675.3
22 10785.3
23 10949.5
24 10941.3
25 10933
26 11081.8
27 10921.5
28 10416.8
29 10531.5
30 10237.3
31 10739.4
32 10688.8
33 10727.9
34 10776.2
35 10693.2
36 10840.9
37 10776.1
38 10620.5
39 10572.3
40 10544.2
41 10672.9
42 10789.5
43 10602.6
44 10670.9
45 10924.1
46 11054.2
47 11298.4
48 11371
49 11533.9
50 11423.8
51 11420.4
52 11503
53 11322
54 11362.1
55 11506.9
56 11753.4
57 11913.5
58 12808.7
59 12974.6
60 12934.1
